hwid,issuer,expires,global,username,suspensions
61756-B6A65-30303-33235-2D383-03030-302D3-03030-30302-D4141-4F454,IcePools,NEVER,0,Stofwolkje24,1
UNKNOWN,IcePools,NEVER,0,Hxted,1
UNKNOWN,Chino,NEVER,0,xTOD,1
UNKNOWN,taz,NEVER,0,Eazy,1
UNKNOWN,IcePools,NEVER,0,spiffy,1
UNKNOWN,IcePools,NEVER,0,Myst,1
UNKNOWN,IcePools,NEVER,0,ProjectLua,1
UNKNOWN,IcePools,NEVER,0,Dynex,1
UNKNOWN,Chino,NEVER,0,minhduc,1
4F776-E6572-30303-33536-2D303-23030-302D3-03030-30322-D4141-4F454,IcePools,NEVER,1,PugAddictVivi,4
UNKNOWN,taz,NEVER,0,gloomless,1
UNKNOWN,Chino,2020-04-15,0,Asquenn,1
UNKNOWN,IcePools,NEVER,0,lanceyy,1
UNKNOWN,Chino,NEVER,0,nvinh,1
73656-27930-30333-3312D-31303-03030-2D303-03030-312D4-14137-323,luci,NEVER,0,Azetec,1
73687-56E30-30333-3302D-38303-03030-2D303-03030-302D4-14139-333,Chino,NEVER,0,kurenal12,1
NONE,Chino,NEVER,0,newmat,1
NONE,Chino,NEVER,0,pepsterv2,1
6F786-9616E-30303-33235-2D383-13434-352D3-63731-33322-D4141-4F454,IcePools,2020-02-14,0,Iluminus,4
NONE,taz,NEVER,0,AbstractPoo,1
CCE8F-7E8ED-FFEDF-33030-34323-62D4F-454D2-D3839-39323-63632-2D303-03533-3,IcePools,2020-06-05,0,Drein,1
NONE,IcePools,2020-04-11,0,sovw1,1
656C6-97779-30303-33330-2D383-03030-302D3-03030-30302-D4141-37343,linsonder6,NEVER,0,samluvsred,1
6A616-B6F62-30303-33330-2D383-03030-302D3-03030-30302-D4141-31313,Chino,2020-04-13,0,sndnvlogs,1
NONE,IcePools,NEVER,0,vuwumy,1
68736-D3030-33373-82D32-30303-0302D-30303-03033-2D414-13038-3,IcePools,NEVER,0,wuss0912,1
54696-D3030-33323-92D30-30303-0302D-30303-03033-2D414-13739-3,IcePools,NEVER,0,beethovensN1fan,1
55736-57230-30333-2362D-31303-03435-2D313-33636-322D4-14139-343,IcePools,NEVER,0,raticatzed,1
NONE,IcePools,NEVER,0,Thirdformula5,2
656C6-C696F-30303-33235-2D393-63135-392D3-93537-36362-D4141-4F454,IcePools,NEVER,0,unokas,1
