os,type,date,serial,username,validfor
Windows,SUBSCRIPTION,2020-07-08,f0b61e6cab45c652e16f6cc6deac6a27,testdummyaccount,2
Windows,SUBSCRIPTION,2020-07-08,W6YREZWTVe,kyrovs,2
Windows,SUBSCRIPTION,2020-07-08,z2Yx9WSbZ1,AutisticChild,2
Windows,SUBSCRIPTION,2020-07-08,xh7aKoU9Dn7nXFU,Dachromaniac,30
Windows,SUBSCRIPTION,2020-07-08,MQ648uGVgg,lilmarrrriiii,2
Windows,SUBSCRIPTION,2020-07-08,cFZVZvqmGM,starisgone13,2
Windows,SUBSCRIPTION,2020-07-08,qdMCyHK5ZYuyUjE,emerhie,30
Windows,SUBSCRIPTION,2020-07-08,2j64dwjNM6,miniLimes,2
Windows,SUBSCRIPTION,2020-07-08,326rC9c4md,Agimancz456,2
Windows,SUBSCRIPTION,2020-07-08,y4dHHWht4K,collgang,5
Windows,SUBSCRIPTION,2020-07-08,XC4EvCgjeV,poke51235,15
Windows,SUBSCRIPTION,2020-07-08,NRahkZBB7r,PC9,2
Windows,HWID,2020-07-08,ZwvXwDqZCY1ZLQ4,Nitr0,0
Windows,SUBSCRIPTION,2020-07-08,ACW7FyJxne,imcaptainoscar,2
Windows,HWID,2020-07-08,wTEeEjd0ydflNbT,Rahil,0
Windows,SUBSCRIPTION,2020-07-08,BCNTXq7J1M,Azultheking666,2
Windows,SUBSCRIPTION,2020-07-08,C4CyAGVdaa,BreadCrum1,2
Windows,SUBSCRIPTION,2020-07-08,zUdN2fSK4q,mievt,2
Windows,SUBSCRIPTION,2020-07-08,PJqRAc5mFd,MoldyXD,5
Windows,SUBSCRIPTION,2020-07-08,8mw3NmdqhV,Aznlion99,2
Windows,HWID,2020-07-08,NcY0Gh3WohAKmDM,Gamestarsg,0
Windows,HWID,2020-07-08,T7OtQsXjUKVehlN,Phil0911,0
Windows,SUBSCRIPTION,2020-07-08,2rq9yyfgyjmVVTC,NeonXL,30
Windows,HWID,2020-07-08,W0cmQpJA0MOLSsF,XDarkGodX,0
Windows,SUBSCRIPTION,2020-07-08,m5fubmAGSp,Thebyxtaxx,2
Windows,SUBSCRIPTION,2020-07-08,snyAgWJVyG,fikrikun,30
Windows,SUBSCRIPTION,2020-07-08,Ts3HkTeaRu,jake656,5
Windows,SUBSCRIPTION,2020-07-08,DSZHnvQRcp,thebatkiller202,2
Windows,SUBSCRIPTION,2020-07-08,K8d57QnEYz,CosmicAtmosphere2,2
Windows,SUBSCRIPTION,2020-07-08,nMVS4eu7Qu,SubTwoZeth,2
Windows,SUBSCRIPTION,2020-07-08,buVWnQa4gP,myppro341519711,2
Windows,SUBSCRIPTION,2020-07-08,4EGzDP1x5v,C4M3R0N,5
Windows,SUBSCRIPTION,2020-07-08,x7FbkQjK13,MrMinestock,30
Windows,SUBSCRIPTION,2020-07-08,Gxa5nG2St9,Lokoh,30
Windows,SUBSCRIPTION,2020-07-08,58EkTvYDR2,Yaboibigbread,2
Windows,SUBSCRIPTION,2020-07-08,h8MWY1S9VuBLLJI,krokodilede,30
Windows,SUBSCRIPTION,2020-07-08,N3yBpRykfG,liamkennedy,2
Windows,HWID,2020-07-08,R2iR7jeoZDGLAvv,kimhoac,0
Windows,SUBSCRIPTION,2020-07-08,ajRJ8fvfyA,sanghunj,2
Windows,SUBSCRIPTION,2020-07-08,2Ch4aN13WY,Hyoche,2
Windows,HWID,2020-07-08,vHbnT2UNwMMYbxY,pachb,0
Windows,SUBSCRIPTION,2020-07-08,Je3HXAMfTs,MinuteSlayer,2
Windows,SUBSCRIPTION,2020-07-08,jfr3NdNDRm,Steveybot06,2
Windows,HWID,2020-07-08,23VqmsGH2pI0IjU,numbaiden,0
Windows,HWID,2020-07-08,bQuCKxj7AV,SharkPremieres,0
Windows,SUBSCRIPTION,2020-07-08,2O9nKxw7XDVYfF9,Macredal,30
Windows,HWID,2020-07-08,zBxTjZrXAGWAlJz,kike13245,0
Windows,HWID,2020-07-08,iPf4axUW385y0DJ,foelja,0
Windows,SUBSCRIPTION,2020-07-08,b0nc6yJzlmmuurw,vtorc,30
Windows,HWID,2020-07-08,4oUOQEmtRhruoVZ,xtschida,0
Windows,HWID,2020-07-09,Khb1B0FAKxk9Odu,Ethernal,0
Windows,SUBSCRIPTION,2020-07-09,F9V5YszCpk,BlameExploitz,2
