date,estimate,paypal_estimate
2020-05-01,500.66,319.52
2020-05-02,322.64,272.16
2020-05-03,430.9,342.02
2020-05-04,431.06,342.02
2020-05-05,348.46,284.62
2020-05-06,426.98,264.64
2020-05-07,447.12,284.62
2020-05-08,366.96,292.16
2020-05-09,337.34,289.56
2020-05-10,334.06,274.62
2020-05-11,360.14,257.16
2020-05-12,336.9,319.54
2020-05-13,297.52,227.2
2020-05-14,531.18,389.48
2020-05-15,429.52,309.52
2020-05-16,269.44,222.32
2020-05-17,419.2,292.16
2020-05-18,430.48,327.04
2020-05-19,355.14,302.1
2020-05-20,338.02,279.78
2020-05-21,297.12,222.32
2020-05-22,418.52,362.12
2020-05-23,189.46,139.78
2020-05-24,296.1,217.14
2020-05-25,302.96,202.16
2020-05-26,303.12,202.16
2020-05-27,276,207.2
2020-05-28,390.1,309.54
2020-05-29,256.3,159.8
2020-05-30,241.02,184.78
2020-05-31,375.34,287.1
2020-06-01,351.98,292.2
2020-06-02,293.24,204.68
2020-06-03,319.4,244.68
2020-06-04,302.52,227.32
2020-06-05,62.04,284.62
2020-06-06,51.84,297.02
2020-06-07,63.88,259.68
2020-06-08,91.12,177.26
2020-06-09,59.92,202.24
2020-06-10,94.74,304.52
2020-06-11,58.4,239.72
2020-06-12,107.44,204.72
2020-06-13,38.72,212.28
2020-06-14,93.92,212.28
2020-06-15,109.04,229.88
2020-06-16,92.02,157.26
2020-06-17,39.04,274.64
2020-06-18,48,277.14
2020-06-19,79.76,277.14
2020-06-20,86.4,232.18
2020-06-21,51.92,174.78
2020-06-22,42.72,297.08
2020-06-23,79.2,322.04
2020-06-24,106.92,391.96
2020-06-25,31.92,259.7
2020-06-26,17.28,269.68
2020-06-27,119,367.14
2020-06-28,56.8,297.04
2020-06-29,67.06,409.4
2020-06-30,65.92,0
2020-07-01,57.6,0
2020-07-02,50.48,327.06
2020-07-03,167.22,347.08
2020-07-04,78.24,302.04
2020-07-05,74.5,0
2020-07-06,94.88,0
2020-07-07,132.4,0
2020-07-08,101.04,414.38
2020-07-09,126.52,0
2020-07-10,117.92,0
2020-07-11,98.32,434.42
2020-07-12,59.44,401.94
2020-07-13,95.38,471.9
2020-07-14,64.08,369.48
2020-07-15,98.72,391.9
2020-07-16,104.8,379.5
2020-07-17,123.68,466.78
2020-07-18,51.68,374.46
2020-07-19,40,778.7
2020-07-20,83.04,606.74
2020-07-21,79.38,409.38
2020-07-22,94.08,299.52
2020-07-23,71.84,321.94
2020-07-24,54.56,247.1
2020-07-25,73.92,324.5
2020-07-26,76,222.28
2020-07-27,64.34,292.04
2020-07-28,59.52,277.16
2020-07-29,74.96,419.42
2020-07-30,37.92,292.02
2020-07-31,127.62,511.88
2020-08-01,82.48,207.14
2020-08-06,10.32,294.68
