TICKET_ID,CUST_IP,QUERY_JSON,QUERY_TYPE,CUST_USERNAME,TICKET_STATUS,ASSISTING_STAFF_JSON
TESTID,2601:500:8280:a030:3c04:7423:90fb:58f,"{""Queries"":[{""Query"":""YXl5eXl5eSB5byB5byB5b1xuc3VwIG1hdGVcbmhvdyBpdCBkb2luXG5zdXAgQCBqb3NoXG5odHRwczovL3Npcmh1cnQubmV0L2xvZ2luL3RpY2tldHMvdmlld3RpY2tldC5waHA/dGlja2V0aWQ9VEVTVElEXG5odHRwczovL3Npcmh1cnQubmV0L2xvZ2luL3RpY2tldHMvdmlld3RpY2tldC5waHA/dGlja2V0aWQ9VEVTVElE"",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""},{""Query"":""aHR0cHM6Ly9zaXJodXJ0Lm5ldC9sb2dpbi90aWNrZXRzL3ZpZXd0aWNrZXQucGhwP3RpY2tldGlkPVRFU1RJRA=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""},{""Query"":""aGVsbG9cbmxhd2w="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""},{""Query"":""aGVsbG8="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""},{""Query"":""TWVzc2FnZSBIZXJl"",""Member"":""Username Here"",""IsStaff"":false,""Rank"":""Lifetime Member"",""Query_Date"":""3/19/2021""}]}",General Inquiry,IcePools,SOLVED,<blank>
oexCc8H9GJ,2601:500:8280:a030:3c04:7423:90fb:58f,"{""Queries"":[{""Query"":""b2ggaGFscCBtZSBhY2NvdW50IGJhbm4gb2ggbm9lcyBub29vb28gaGFscCBtZVxuc2lyXG5wbGVhc2Vcbmh0dHBzOi8vc2lyaHVydC5uZXQvbG9naW4vdGlja2V0cy9uZXcucGhw"",""Member"":"""",""IsStaff"":false,""Rank"":"""",""Query_Date"":""2021-03-20""}]}",Account Suspension,<blank>,SOLVED,<blank>
lhjuNnlPBU,2601:500:8280:a030:3c04:7423:90fb:58f,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIGNsb3NlZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-23""},{""Query"":""VGhpcyB0aWNrZXQgd2FzIHJlLW9wZW5lZCBieSBJY2VQb29scw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-23""},{""Query"":""b2ggYW5kIHllcyB5ZXM="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""},{""Query"":""bWUgc2lyaGFydCBubyB3YXJrXG5ubyBhZG1pbiBoYWJvbCB5ZXNcbmh0dHBzOi8vc2lyaHVydC5uZXQvbG9naW4vdGlja2V0cy9uZXcucGhwXG5zdXA="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""}]}",Technical Issues,IcePools,CLOSED,<blank>
fCa9ewGHAb,2601:500:8280:a030:3c04:7423:90fb:58f,"{""Queries"":[{""Query"":""anVzdCB3b25kZXJpbmcgaG93IGRvIGkgZ2V0IHNpcmh1cnQgdjQ="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""}]}",General Inquiry,IcePools,SOLVED,<blank>
wBcJwWlSgy,2601:500:8280:a030:3c04:7423:90fb:58f,"{""Queries"":[{""Query"":""aGFsbG8gdGVzdG9uZSB0aWNrZXQgeWVzeSBlcw=="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""}]}",General Inquiry,IcePools,SOLVED,<blank>
iE9X9a4Iis,2601:500:8280:a030:3c04:7423:90fb:58f,"{""Queries"":[{""Query"":""aGVsbG8gdGhpcyBpcyBhIHRlc3QgdGlja2V0IHRoYXRzIG9wZW4="",""Member"":""IcePools"",""IsStaff"":false,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""}]}",General Inquiry,IcePools,SOLVED,<blank>
xApIoVnVlR,2601:181:4500:1e80:c916:6bf4:c467:bb8c,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBtaW5pa2lkMTMz"",""Member"":""minikid133"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-21""},{""Query"":""RG8gYSBjbGVhbiB1bmluc3RhbGwgb2YgYWxsIHRoZSByZXF1aXJlZCBkb3dubG9hZGVkIGZpbGVzLiBVbmluc3RhbGwgdGhlIHJlZGlzdHJ1YnRhbHMsIGJ1aWxkIHRvb2xzLCBldGMsIHRoZW4gcmVpbnN0YWxsIGVhY2ggb25lIG9mIHRoZW0gYWdhaW4uIEFmdGVyd29yZHMsIHJlc3RhcnQgeW91ciBjb21wdXRlciwgb3BlbiB0aGUgYm9vdHN0cmFwcGVyIHRvIGVuc3VyZSB5b3UgYXJlIHVzaW5nIHRoZSBsYXRlc3Qgc2lyaHVydCBidWlsZCwgdGhlbiB0cnkgcnVubmluZyBpdCBhZ2Fpbi4="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""},{""Query"":""aSBhbHJlYWR5IHRyaWVkIGV2ZXJ5dGhpbmcgdGhlIHN1cHBvcnQgdG9sZCBtZSB0byBkbyBhbmQgc3RpbGwgZG9lc250IHdvcms="",""Member"":""mysticlands"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""},{""Query"":""SGkgdGhlcmUsIHdlcmUgc29ycnkgdG8gaGVhciBhYm91dCB5b3VyIGlzc3VlIGFuZCBob3BlIHRvIGdldCBpdCByZXNvbHZlZCBhcyBxdWlja2x5IGFzIHBvc3NpYmxlIVxuXG5QbGVhc2UgZW5zdXJlIHlvdSBoYXZlIGVhY2ggb2YgdGhlIHJlcXVpcmVkIGZpbGVzIGxvY2F0ZWQgYXQgaHR0cHM6Ly9zaXJodXJ0Lm5ldC9sb2dpbi9kb3dubG9hZC5waHAgaW5zdGFsbGVkIG9uIHlvdXIgY29tcHV0ZXIuIFRoZSBidWlsZCB0b29scywgdGhlIHJlZGlzdHJpYnV0YWJsZXMsIGV2ZXJ5dGhpbmcu"",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""},{""Query"":""aW5qZWN0aW5nIGRvZXMgbm90IHdvcmssIGFscmVhZHkgdHJpZWQgc3VwcG9ydCBmcm9tIGZ1bmtcbiM3NTkxIC0gY3VzdG9tZXIgc3VwcG9ydCByZXByZXNlbnRhdGl2ZXMg"",""Member"":""mysticlands"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""}]}",Technical Issues,mysticlands,SOLVED,<blank>
ZTAewZ1pTp,204.197.178.32,"{""Queries"":[{""Query"":""VGhpcyB0aWNrZXQgd2FzIG1hcmtlZCBhcyByZXNvbHZlZCBieSBtaW5pa2lkMTMz"",""Member"":""minikid133"",""IsStaff"":false,""Rank"":""N/A"",""Query_Date"":""2021-03-21""},{""Query"":""V2hhdCB3YXMgdGhlIG91dGNvbWU/IERpZCB0aGUgc2NyaXB0IHJ1biBvciBwcm9kdWNlIGEgY3Jhc2g/"",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-21""},{""Query"":""eWVzIGkgZGlk"",""Member"":""anthony46l"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""},{""Query"":""SWYgeW91cmUgY3Jhc2hpbmcgYWZ0ZXIgcnVubmluZyBhIHNjcmlwdCwgYW5kIG5vdCBvbiBpbmplY3Rpb24sIHRoZW4gaXRzIGxpa2VseSBhIGlzc3VlIHdpdGggdGhlIHNjcmlwdCB5b3VyIHJ1bm5pbmcuIERpZCB5b3UgdHJ5IHJ1bm5pbmcgc29tZXRoaW5nIHN1Y2ggYXMgcHJpbnQoaGVsbG8pIHRvIGVuc3VyZSB0aGF0IHRoZSBleGVjdXRpb24gaXRzZWxmIGlzIHdvcmtpbmcganVzdCBmaW5lPw=="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""},{""Query"":""aSBkaWQgdGhhdCB0d2ljZQ=="",""Member"":""anthony46l"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""},{""Query"":""RG8gYSBjbGVhbiB1bmluc3RhbGwgb2YgYWxsIHRoZSByZXF1aXJlZCBkb3dubG9hZGVkIGZpbGVzLiBVbmluc3RhbGwgdGhlIHJlZGlzdHJ1YnRhbHMsIGJ1aWxkIHRvb2xzLCBldGMsIHRoZW4gcmVpbnN0YWxsIGVhY2ggb25lIG9mIHRoZW0gYWdhaW4uIEFmdGVyd29yZHMsIHJlc3RhcnQgeW91ciBjb21wdXRlciwgb3BlbiB0aGUgYm9vdHN0cmFwcGVyIHRvIGVuc3VyZSB5b3UgYXJlIHVzaW5nIHRoZSBsYXRlc3Qgc2lyaHVydCBidWlsZCwgdGhlbiB0cnkgcnVubmluZyBpdCBhZ2Fpbi4="",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""},{""Query"":""aSBkbw=="",""Member"":""anthony46l"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""},{""Query"":""SGkgdGhlcmUsIHdlcmUgc29ycnkgdG8gaGVhciBhYm91dCB5b3VyIGlzc3VlIGFuZCBob3BlIHRvIGdldCBpdCByZXNvbHZlZCBhcyBxdWlja2x5IGFzIHBvc3NpYmxlIVxuXG5QbGVhc2UgZW5zdXJlIHlvdSBoYXZlIGVhY2ggb2YgdGhlIHJlcXVpcmVkIGZpbGVzIGxvY2F0ZWQgYXQgaHR0cHM6Ly9zaXJodXJ0Lm5ldC9sb2dpbi9kb3dubG9hZC5waHAgaW5zdGFsbGVkIG9uIHlvdXIgY29tcHV0ZXIuIFRoZSBidWlsZCB0b29scywgdGhlIHJlZGlzdHJpYnV0YWJsZXMsIGV2ZXJ5dGhpbmcu"",""Member"":""IcePools"",""IsStaff"":true,""Rank"":""Head of Operations"",""Query_Date"":""2021-03-20""},{""Query"":""YWxzbyBrZWVwcyBjcmFzaGluZw=="",""Member"":""anthony46l"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""},{""Query"":""d2hlbiBpIGluamVjdCBpdCBpdCB0YWtlcyBtZSBsaWtlIDMgZXh1Y3V0ZXMgdG8gcnVuIHNjcmlwdA=="",""Member"":""anthony46l"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""}]}",Bug Report,anthony46l,SOLVED,<blank>
gV0VuMtFIi,2600:1700:f0e0:db30:648a:72a9:cf2a:250c,"{""Queries"":[{""Query"":""aHR0cHM6Ly9kaXNjb3JkLmdnLzc5Q1dhQWhSanQ="",""Member"":""besthussain1"",""IsStaff"":true,""Rank"":""Management"",""Query_Date"":""2021-03-20""},{""Query"":""SW0gcHJldHR5IHN1cmUgc2hvcnQgaGFzIGEgZGlzY29yZCBidXQgSW0gbm90IHN1cmUgb2YgaG93IHRvIGdldCBpbiBJdmUgYmVlbiBhIG93bmVyIGZvciBhIGdvb2QgYml0IG5vdyBhbmQgSW0gc3RpbGwgY29uZnVzZWQgb24gaG93IHRvIGdldCBpbnRvIHRoZSBkaXNjb3JkIGlmIHNpcmh1cnQgZG9lc250IGhhdmUgZGlzY29yZCBhbmQgSW0ganVzdCBUcmlwcGluIGEgbmljZSByZXBseSB3b3VsZCBiZSBncmVhdA=="",""Member"":""rrugrrats"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""}]}",General Inquiry,rrugrrats,SOLVED,<blank>
xcqHpzkjYh,154.181.251.143,"{""Queries"":[{""Query"":""b2sgc28gdGhlIGJhZCBwYyBpc3N1ZSBpcyBqdXN0IGEgam9rZSwgaXQgbWF5IG9ubHkgZWZmZWN0IHBjcyB0aGF0IGFyZSBhY3R1YWxseSByZWFsbHkgYmFkIHRoYXQgYXJlIGZvciBleGFtcGxlIDJnYiByYW0sIGFueXRoaW5nIGFib3ZlIHRoYXQgc2hvdWxkIHdvcmsgZmluZSBhbmQgaWYgaXRzIGEgcHJvYmxlbSB3aXRoIGNyYXNoaW5nIGFuZCBpbmplY3Rpb24sIGRvd25sb2FkIHRoZSByZWRpc3QgZmlsZXM="",""Member"":""minikid133"",""IsStaff"":true,""Rank"":""Staff Member"",""Query_Date"":""2021-03-20""},{""Query"":""d2VsbCB0aGlzIGlzIGEgYnVnIGJ1dCBub3QgYSBidWcgYXQgdGhlIHNhbWUgdGltZSwgaXQgaGFwcGVucyB3aXRoIGFsb3Qgb2YgcGVvcGxlIGFuZCBpdmUgYmVlbiB0b2xkIGl0cyBjYXVzZWQgYmVjYXVzZSBvZiB3ZWFrIHBjcywgYmFzaWNhbGx5IHNpcmh1cnQgY3Jhc2hlcyBsaWtlIDg1JSBvZiB0aGUgdGltZSBvbiBpbmplY3Qgb3IgZXhlY3V0ZSBhbmQgaSByZWFsbHkgd2FudCB0byBrbm93IHdoeSBjYW50IGl0IHdvcmsgbGlrZSBvdGhlciBub3JtYWwgZXhwbG9pdHMgb3Igd2hlbiBpdCB3aWxsIGJlIGZpeGVk"",""Member"":""reinstall"",""IsStaff"":false,""Rank"":""Licensed User"",""Query_Date"":""2021-03-20""}]}",Bug Report,reinstall,SOLVED,<blank>
